city,latitude,longitude,adress,weather_code,felt_temperature,cloud_coverage,precipitation,wind
Mont Saint Michel,48.6359541,-1.511459954959514,"Mont Saint-Michel, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",802,18.3,47,0.0,3.46727
St Malo,48.649518,-2.0260409,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France",800,17.0,0,0.0,4.6
Bayeux,49.2764624,-0.7024738,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France",802,17.0,61,0.0,2.29838
Le Havre,49.4938975,0.1079732,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France",804,18.0,100,0.0,4.6
Rouen,49.4404591,1.0939658,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",804,19.3,92,0.0,2.18635
Paris,48.8588897,2.3200410217200766,"Paris, Île-de-France, France métropolitaine, France",804,22.0,91,0.0,3.28122
Amiens,49.8941708,2.2956951,"Amiens, Somme, Hauts-de-France, France métropolitaine, 80090, France",802,19.3,48,0.0,2.51733
Lille,50.6365654,3.0635282,"Lille, Nord, Hauts-de-France, France métropolitaine, France",803,20.4,80,0.0,2.67006
Strasbourg,48.584614,7.7507127,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",800,22.0,0,0.0,2.1
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,"Château du Haut-Kœnigsbourg, Orschwiller, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France",801,19.9,39,0.0,2.04588
Colmar,48.0777517,7.3579641,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France",800,21.1,0,0.0,1.1
Eguisheim,48.0447968,7.3079618,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France",800,20.6,0,0.0,2.21187
Besancon,47.2380222,6.0243622,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",801,17.8,15,0.0,1.52493
Dijon,47.3215806,5.0414701,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",800,25.7,0,0.0,4.1
Annecy,45.8992348,6.1288847,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",803,21.4,90,0.0,1.47689
Grenoble,45.1875602,5.7357819,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",804,23.7,100,0.0,1.29353
Lyon,45.7578137,4.8320114,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",804,24.1,95,0.0,4.1
